small_area,total_value_mGBP
E01000874,3.624065753
E01000875,0.229071396
E01000876,0.310093744
E01000877,0.087700381
E01000878,12.94515903
E01000879,1.856033975
E01000880,4.785941475
E01000881,-0.003469043
E01000882,2.175630261
E01000883,-0.009058487
E01000884,10.92483589
E01000885,16.30056667
E01000886,2.614473005
E01000887,1.379134534
E01000888,2.461098459
E01000889,-0.008228148
E01000890,-0.019960484
E01000891,0.032620335
E01000892,4.215674587
E01000893,4.796263242
E01000894,6.786125979
E01000895,0.528676001
E01000896,5.245065713
E01000897,12.38455647
E01000898,-0.005897833
E01000899,16.56229147
E01000900,-0.016106845
E01000901,-0.028305182
E01000902,-0.012351957
E01000903,2.376655354
E01000904,0.218942659
E01000905,-0.012307738
E01000906,-0.017372451
E01000907,-0.015997335
E01000908,0.62216558
E01000909,6.989501781
E01000910,6.283571551
E01000911,2.644380775
E01000912,0.666967286
E01000913,15.63652018
E01000914,-0.030860311
E01000915,-0.022738675
E01000916,-0.025302773
E01000917,-0.01391815
E01000918,-0.024630679
E01000919,-0.01399323
E01000920,-0.026730519
E01000921,-0.019168014
E01000922,-0.015776333
E01000923,2.484546671
E01000924,1.204091177
E01000925,-0.019044701
E01000926,-0.014731776
E01000927,1.581062116
E01000928,2.842121347
E01000929,0.107550454
E01000930,0.432036028
E01000931,-0.032385776
E01000932,-0.024396359
E01000933,-0.025483486
E01000934,-0.013945467
E01000935,0.258644814
E01000937,-0.205360113
E01000938,-0.237458674
E01000939,-0.131998945
E01000941,-0.020068341
E01000942,-0.016789905
E01000943,-0.111328774
E01000944,-0.188702279
E01000946,0.425458872
E01000947,-0.026741969
E01000948,-0.013632344
E01000949,-0.016944551
E01000951,-0.205078565
E01000952,-0.014678266
E01000954,-0.170162914
E01000955,-0.233757256
E01000956,-0.137193252
E01000957,-0.016134831
E01000958,-0.05593245
E01000959,-0.03509781
E01000960,-0.008599138
E01000961,-0.02081073
E01000962,-0.00616653
E01000963,-0.005955612
E01000964,0.518784421
E01000965,0.472883558
E01000966,1.439190119
E01000967,7.382920323
E01000968,-0.007718344
E01000969,0.094291907
E01000970,-0.020242518
E01000971,2.09207238
E01000972,-0.019165791
E01000973,-0.02322407
E01000974,-0.018209697
E01000975,0.512612837
E01000976,1.244748345
E01000977,1.526333706
E01000978,1.511343111
E01000979,1.91137453
E01000980,2.340093004
E01000981,3.059185256
E01000982,2.315470923
E01000983,3.441895039
E01000984,1.86967834
E01000985,5.839092242
E01000986,3.681772388
E01000987,4.848273151
E01000989,8.052204645
E01000990,1.06088137
E01000991,16.0444881
E01000992,2.786083339
E01000993,3.33976072
E01000994,2.24965325
E01000995,1.726145543
E01000996,1.626319452
E01000997,1.747404268
E01000998,1.203815339
E01000999,1.997972773
E01001000,1.204082593
E01001001,1.196653457
E01001002,1.519029205
E01001003,1.593870655
E01001004,1.906836474
E01001005,1.478051499
E01001006,1.779691192
E01001007,2.697567834
E01001008,1.629673795
E01001009,1.795586636
E01001010,1.246943122
E01001011,0.429874323
E01001012,1.624835678
E01001013,0.862705588
E01001015,4.604267377
E01001016,7.880100399
E01001017,7.918385002
E01001018,7.551031327
E01001019,5.764636373
E01001020,7.12038357
E01001021,1.257077414
E01001022,9.704954118
E01001023,5.105887167
E01001024,4.256557084
E01001025,9.37664185
E01001026,6.308962277
E01001027,9.345852866
E01001028,31.50513015
E01001029,3.710338086
E01001030,12.43809312
E01001031,14.18132585
E01001032,14.74612733
E01001033,2.874778671
E01001034,2.579541114
E01001035,1.811626267
E01001036,5.635487941
E01001037,1.870947004
E01001038,2.242579041
E01001039,11.91782448
E01001040,2.405637043
E01001041,2.252895795
E01001042,0.542480612
E01001044,3.529690364
E01001046,1.97042018
E01001047,1.229941374
E01001049,12.19350752
E01001050,0.525623822
E01001051,0.858340187
E01001052,0.930402994
E01001053,2.131843361
E01001054,1.43001103
E01001055,1.664437752
E01001056,1.303172586
E01001057,1.026333556
E01001058,2.546040618
E01001059,2.049597675
E01001060,2.841613432
E01001061,2.877755517
E01001062,13.33440311
E01001063,7.127716094
E01001064,6.959088033
E01001065,2.784871185
E01001066,1.22151979
E01001067,10.64711297
E01001068,4.230529242
E01001069,5.359896774
E01001070,4.510053199
E01001071,6.034585127
E01001072,28.71601878
E01001073,2.307859939
E01001074,2.4045142
E01001075,3.269750202
E01001076,1.975968943
E01001077,2.043235905
E01001078,1.717271537
E01001079,2.26716713
E01001080,1.031124726
E01001081,1.886183663
E01001082,2.5841017
E01001083,6.858735621
E01001084,9.814567013
E01001085,2.549533396
E01001086,3.442848196
E01001087,2.368318758
E01001088,2.380931868
E01001089,2.205982283
E01001090,2.543043768
E01001091,5.242392704
E01001092,6.77338216
E01001093,4.166395961
E01001094,32.8686824
E01001095,2.496311732
E01001096,6.465954011
E01001097,2.220330598
E01001098,10.91748841
E01001099,2.497902628
E01001100,3.812859863
E01001101,11.30475948
E01001102,7.369786142
E01001103,11.87751916
E01001104,6.552755705
E01001105,5.54567117
E01001106,6.820520313
E01001107,13.44873231
E01001108,17.74782952
E01001109,1.670163316
E01001110,0.530177485
E01001111,1.807220242
E01001112,1.564120334
E01001113,1.502376884
E01001114,0.949465808
E01001115,0.952918943
E01001116,1.177565468
E01001118,1.080076911
E01001119,4.154773261
E01001120,4.033762578
E01001121,9.214262777
E01001122,6.50278715
E01001123,12.19916547
E01001124,7.484096621
E01001125,7.292527336
E01001126,3.939486998
E01001127,10.88791976
